title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,speciesArray,speciesScore,abdomenArray,abdomenScore,abdomen2Array,abdomen2Score,sexArray,sexScore,speciesModel,sexModel,abdomenStatusModel,abdomenStatus2Model,appVersion,yolovCoordinates,fullImage,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt,specimenIdDup
Lira-04-SP-01,09/01/2023,SP006_01,Culex,Female,FF - Fully Fed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.03155999,0.12566341,0.08894685,0.6642935,0.08953632]",0.6642935,"[0.07898239,0.9210176]",0.9210176,"[0.78061604,0.21938396]",0.78061604,"[0.99677354,0.0032264276]",0.99677354,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"118, 324 - 2444, 3207",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-44-34.886-full00ebdee4b2f086e2-18-218.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-44-26.725-00ebdee4b2f086e2-18-218.jpg,0.82,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:218,Pyrethroid Spray Catch (PSC),2023-01-09T14:44:43.083Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:44:43.083Z,Lira-04-SP-01&&09-01-2023&&SP006_01
Lira-04-SP-01,09/01/2023,SP003,Culex,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.0849901,0.03680791,0.17558527,0.36373344,0.33888337]",0.36373344,"[0.8753578,0.124642156]",0.8753578,[],,"[0.99631965,0.0036803302]",0.99631965,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"27, 636 - 2079, 2911",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-46-58.696-full00ebdee4b2f086e2-18-208.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-46-40.333-00ebdee4b2f086e2-18-208.jpg,0.77,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:208,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:15.953Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:47:05.362Z,Lira-04-SP-01&&09-01-2023&&SP003
Lira-04-SP-01,09/01/2023,SP003_01,Anopheles other,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.041593626,0.017316233,0.4617188,0.33682308,0.1425483]",0.4617188,"[0.90288585,0.09711407]",0.90288585,[],,"[0.9997445,0.00025557308]",0.9997445,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"14, 40 - 2438, 2708",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-45-17.676-full00ebdee4b2f086e2-18-209.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-45-12.095-00ebdee4b2f086e2-18-209.jpg,0.81,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:209,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:19.894Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:45:19.894Z,Lira-04-SP-01&&09-01-2023&&SP003_01
Lira-04-SP-01,09/01/2023,SP003_02,Anopheles other,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.14336765,0.17880704,0.33095273,0.1353229,0.21154971]",0.33095273,"[0.612129,0.3878711]",0.612129,[],,"[0.97374845,0.026251521]",0.97374845,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"169, 649 - 2195, 2792",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-46-46.824-full00ebdee4b2f086e2-18-210.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-46-40.337-00ebdee4b2f086e2-18-210.jpg,0.94,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:210,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:26.841Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:46:53.550Z,Lira-04-SP-01&&09-01-2023&&SP003_02
Lira-04-SP-01,09/01/2023,SP002_02,Culex,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.04602693,0.027797613,0.2977499,0.52022105,0.10820456]",0.52022105,"[0.51773363,0.48226643]",0.51773363,[],,"[0.99948704,0.0005129708]",0.99948704,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"31, 406 - 2199, 2558",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-45-25.974-full00ebdee4b2f086e2-18-207.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-45-02.138-00ebdee4b2f086e2-18-207.jpg,0.75,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:207,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:41.930Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:45:41.930Z,Lira-04-SP-01&&09-01-2023&&SP002_02
Lira-04-SP-01,09/01/2023,SP004_02,Culex,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.2488407,0.045975532,0.20489877,0.33828598,0.161999]",0.33828598,"[0.85155326,0.14844668]",0.85155326,[],,"[0.94512457,0.054875407]",0.94512457,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"168, 4 - 2421, 2956",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-45-42.690-full00ebdee4b2f086e2-18-213.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-45-38.669-00ebdee4b2f086e2-18-213.jpg,0.89,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:213,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:44.066Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:45:44.066Z,Lira-04-SP-01&&09-01-2023&&SP004_02
Lira-04-SP-01,09/01/2023,SP004,Anopheles other,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.103500746,0.061915964,0.3265373,0.281748,0.22629793]",0.3265373,"[0.85575414,0.14424585]",0.85575414,[],,"[0.75719786,0.24280214]",0.75719786,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"87, 500 - 2285, 2979",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-45-35.645-full00ebdee4b2f086e2-18-211.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-45-21.996-00ebdee4b2f086e2-18-211.jpg,0.85,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:211,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:49.040Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:45:49.040Z,Lira-04-SP-01&&09-01-2023&&SP004
Lira-04-SP-01,09/01/2023,SP001_01,Culex,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.15984061,0.022798019,0.30096108,0.40469125,0.111709]",0.40469125,"[0.7795583,0.2204417]",0.7795583,[],,"[0.9925417,0.00745837]",0.9925417,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"10, 644 - 2320, 3022",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-45-37.945-full00ebdee4b2f086e2-18-203.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-45-01.541-00ebdee4b2f086e2-18-203.jpg,0.92,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:203,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:51.822Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:45:51.822Z,Lira-04-SP-01&&09-01-2023&&SP001_01
Lira-04-SP-01,09/01/2023,SP005_01,Culex,Female,UF - Unfed,Culex,Female,FF - Fully Fed,,Uganda,Lira,Amuca,"[0.06344051,0.045964327,0.073160976,0.7453022,0.07213203]",0.7453022,"[0.6969243,0.3030756]",0.6969243,[],,"[0.9999784,0.00002159048]",0.9999784,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"-34, 331 - 2115, 2757",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-47-07.584-full00ebdee4b2f086e2-18-215.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-46-58.223-00ebdee4b2f086e2-18-215.jpg,0.89,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:215,Pyrethroid Spray Catch (PSC),2023-01-09T14:45:56.083Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:47:16.316Z,Lira-04-SP-01&&09-01-2023&&SP005_01
Lira-04-SP-01,09/01/2023,SP005,Culex,Female,UF - Unfed,Culex,Female,FF - Fully Fed,,Uganda,Lira,Amuca,"[0.0255961,0.01826582,0.024302123,0.8662816,0.06555428]",0.8662816,"[0.53675485,0.46324515]",0.53675485,[],,"[0.99423707,0.0057629235]",0.99423707,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"80, 404 - 2159, 3132",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-46-59.983-full00ebdee4b2f086e2-18-214.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-46-54.114-00ebdee4b2f086e2-18-214.jpg,0.72,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:214,Pyrethroid Spray Catch (PSC),2023-01-09T14:46:17.387Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:47:07.704Z,Lira-04-SP-01&&09-01-2023&&SP005
Lira-04-SP-01,09/01/2023,SP004_01,Culex,Female,UF - Unfed,Culex,Female,G - Gravid,,Uganda,Lira,Amuca,"[0.17884219,0.08648924,0.23684143,0.3749085,0.122918606]",0.3749085,"[0.90608114,0.093918905]",0.90608114,[],,"[0.96466374,0.03533624]",0.96466374,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"279, 269 - 2339, 2870",http://137.184.182.201:5005/images/session/fullImage-2023-01-09-14-46-47.832-full00ebdee4b2f086e2-18-212.jpg,http://137.184.182.201:5005/images/session/image-2023-01-09-14-46-40.361-00ebdee4b2f086e2-18-212.jpg,0.89,Yes,Fresh,,,,,,00ebdee4b2f086e2:ebdde0c2-4d6e-4b99-a179-a0678cca744e,18:212,Pyrethroid Spray Catch (PSC),2023-01-09T14:46:52.134Z,VectorCam V2,False,Sunny Patel,,2023-01-09T14:46:52.134Z,Lira-04-SP-01&&09-01-2023&&SP004_01
